,tile size,crop,augmentation,avg. aucroc,avg. recall,avg. precision,avg. f1 score
0,4.0,False,False,0.6119,0.6622,0.6314,0.6464333333333332
1,4.0,False,True,0.6818,0.7352,0.7585,0.7466682734150096
2,4.0,center,False,0.6728,0.6795,0.6277,0.6525736689106488
3,4.0,center,True,0.6015,0.8294,0.5726,0.6774813694721825
4,4.0,circular,False,0.5924,0.5169,0.5203,0.5185944273042808
5,4.0,circular,True,0.6763,0.5737,0.7359,0.6447553909590714
6,8.0,False,False,0.6739,0.689,0.7097,0.6991968256237936
7,8.0,False,True,0.7183,0.5477,0.7738,0.6414078849791903
8,8.0,center,False,0.6556,0.6819,0.7045,0.6930157963069821
9,8.0,center,True,0.6709,0.7027,0.7865,0.7422422105828633
10,8.0,circular,False,0.6876,0.7665,0.7316,0.7486434817435419
11,8.0,circular,True,0.664,0.385,0.7085,0.49889803383630543
12,16.0,False,False,0.6595,0.603,0.6622,0.6312149857730003
13,16.0,False,True,0.7203,0.5442,0.6344,0.5858484303410827
14,16.0,center,False,0.7151,0.692,0.7984,0.7414020397208804
15,16.0,center,True,0.6407,0.4823,0.53,0.5050261780104713
16,16.0,circular,False,0.6528,0.5616,0.6315,0.5945023887352276
17,16.0,circular,True,0.7401,0.5827,0.5943,0.5884428377230246
18,32.0,False,False,0.6281,0.4864,0.6148,0.5431142753359971
19,32.0,False,True,0.6802,0.5626,0.6057,0.5833549944363606
20,32.0,center,False,0.6904,0.6505,0.5916,0.6196534900571613
21,32.0,center,True,0.7898,0.476,0.5839,0.5244577790357581
22,32.0,circular,False,0.6176,0.4149,0.7093,0.5235519836328055
23,32.0,circular,True,0.6219,0.6878,0.6177,0.6508679586365378
