,tile size,crop,augmentation,avg. aucroc,avg. recall,avg. precision,avg. f1 score
0,4.0,False,False,0.6119,0.6622,0.6314,0.5570
1,4.0,False,True,0.6818,0.7352,0.7585,0.6518
2,4.0,center,False,0.6728,0.6795,0.6277,0.6147
3,4.0,center,True,0.6015,0.8294,0.5726,0.6427
4,4.0,circular,False,0.5924,0.5169,0.5203,0.4629
5,4.0,circular,True,0.6763,0.5737,0.7359,0.5330
6,8.0,False,False,0.6739,0.6890,0.7097,0.5963
7,8.0,False,True,0.7183,0.5477,0.7738,0.5091
8,8.0,center,False,0.6556,0.6819,0.7045,0.5867
9,8.0,center,True,0.6709,0.7027,0.7865,0.6550
10,8.0,circular,False,0.6876,0.7665,0.7316,0.6425
11,8.0,circular,True,0.6640,0.3850,0.7085,0.3794
12,16.0,False,False,0.6595,0.6030,0.6622,0.5207
13,16.0,False,True,0.7203,0.5442,0.6344,0.5004
14,16.0,center,False,0.7151,0.6920,0.7984,0.6336
15,16.0,center,True,0.6407,0.4823,0.5300,0.4339
16,16.0,circular,False,0.6528,0.5616,0.6315,0.5179
17,16.0,circular,True,0.7401,0.5827,0.5943,0.5031
18,32.0,False,False,0.6281,0.4864,0.6148,0.4373
19,32.0,False,True,0.6802,0.5626,0.6057,0.4931
20,32.0,center,False,0.6904,0.6505,0.5916,0.5195
21,32.0,center,True,0.7898,0.4760,0.5839,0.4753
22,32.0,circular,False,0.6176,0.4149,0.7093,0.4342
23,32.0,circular,True,0.6219,0.6878,0.6177,0.5521
